Make,Model,events,total_fatal,total_casualties,total_uninjured,most_common_injury,denom,fatality_rate,survival_rate
ROBINSON HELICOPTER COMPANY,R44 II,136,28.0,115.0,166.0,Non-Fatal,281.0,0.099644128113879,0.900355871886121
Republic,RC-3,22,3.0,17.0,22.0,Non-Fatal,39.0,0.07692307692307693,0.9230769230769231
Robinson,R-22,127,27.0,74.0,139.0,Non-Fatal,213.0,0.1267605633802817,0.8732394366197183
Robinson,R-22 BETA,30,13.0,32.0,24.0,Non-Fatal,56.0,0.23214285714285715,0.7678571428571428
Robinson,R-22B,72,7.0,34.0,86.0,Non-Fatal,120.0,0.058333333333333334,0.9416666666666667
Robinson,R-44,32,25.0,37.0,34.0,Non-Fatal,71.0,0.352112676056338,0.647887323943662
Robinson,R22,164,31.0,92.0,185.0,Non-Fatal,277.0,0.11191335740072202,0.8880866425992779
Robinson,R22 BETA,64,14.0,38.0,75.0,Non-Fatal,113.0,0.12389380530973451,0.8761061946902655
Robinson,R22 Beta,75,14.0,48.0,90.0,Non-Fatal,138.0,0.10144927536231885,0.8985507246376812
Robinson,R22B,46,12.0,29.0,53.0,Non-Fatal,82.0,0.14634146341463414,0.8536585365853658
Robinson,R44,116,74.0,144.0,116.0,Non-Fatal,260.0,0.2846153846153846,0.7153846153846154
Rockwell,S-2R,89,14.0,38.0,56.0,Non-Fatal,94.0,0.14893617021276595,0.851063829787234
Rockwell,S2R,40,1.0,8.0,32.0,Non-Fatal,40.0,0.025,0.975
SCHWEIZER,269C,47,9.0,29.0,59.0,Non-Fatal,88.0,0.10227272727272728,0.8977272727272727
SOCATA,TBM 700,20,26.0,36.0,18.0,Non-Fatal,54.0,0.48148148148148145,0.5185185185185186
STINSON,108,33,1.0,20.0,33.0,Non-Fatal,53.0,0.018867924528301886,0.9811320754716981
Schleicher,ASW-20,25,7.0,16.0,14.0,Non-Fatal,30.0,0.23333333333333334,0.7666666666666666
Schweizer,269C,101,15.0,62.0,109.0,Non-Fatal,171.0,0.08771929824561403,0.9122807017543859
Schweizer,269C-1,22,2.0,9.0,29.0,Non-Fatal,38.0,0.05263157894736842,0.9473684210526316
Schweizer,G-164A,25,3.0,6.0,19.0,Non-Fatal,25.0,0.12,0.88
Schweizer,G-164B,92,5.0,34.0,64.0,Non-Fatal,98.0,0.05102040816326531,0.9489795918367347
Schweizer,SGS 2-33A,53,0.0,21.0,56.0,Non-Fatal,77.0,0.0,1.0
