Make,Model,events,total_fatal,total_casualties,total_uninjured,most_common_injury,denom,fatality_rate,survival_rate
AERONCA,11AC,23,4.0,14.0,21.0,Non-Fatal,35.0,0.11428571428571428,0.8857142857142857
AERONCA,7AC,61,12.0,35.0,56.0,Non-Fatal,91.0,0.13186813186813187,0.8681318681318682
AIR TRACTOR INC,AT-301,27,2.0,8.0,19.0,Non-Fatal,27.0,0.07407407407407407,0.9259259259259259
AIR TRACTOR INC,AT-502B,25,2.0,8.0,18.0,Non-Fatal,26.0,0.07692307692307693,0.9230769230769231
AIR TRACTOR INC,AT-602,24,5.0,12.0,13.0,Non-Fatal,25.0,0.2,0.8
AIRBUS,A320,73,170.0,189.0,2634.0,Non-Fatal,2823.0,0.06021962451292951,0.9397803754870705
AIRBUS,A330,29,331.0,364.0,2508.0,Non-Fatal,2872.0,0.11525069637883008,0.8847493036211699
AVIAT AIRCRAFT INC,A-1B,21,0.0,9.0,21.0,Non-Fatal,30.0,0.0,1.0
Aero Commander,100,28,1.0,22.0,30.0,Non-Fatal,52.0,0.019230769230769232,0.9807692307692307
Aero Commander,S2R,58,4.0,14.0,44.0,Non-Fatal,58.0,0.06896551724137931,0.9310344827586207
Aeronca,11AC,56,13.0,40.0,56.0,Non-Fatal,96.0,0.13541666666666666,0.8645833333333334
Aeronca,15AC,26,1.0,11.0,33.0,Non-Fatal,44.0,0.022727272727272728,0.9772727272727273
Aeronca,7AC,205,35.0,168.0,172.0,Non-Fatal,340.0,0.10294117647058823,0.8970588235294118
Aeronca,7BCM,21,2.0,10.0,21.0,Non-Fatal,31.0,0.06451612903225806,0.935483870967742
Aerospatiale,SA315B,20,4.0,25.0,4.0,Non-Fatal,29.0,0.13793103448275862,0.8620689655172413
Air Tractor,AT-301,148,14.0,58.0,91.0,Non-Fatal,149.0,0.09395973154362416,0.9060402684563759
Air Tractor,AT-400,20,4.0,10.0,11.0,Non-Fatal,21.0,0.19047619047619047,0.8095238095238095
Air Tractor,AT-401,66,3.0,24.0,43.0,Non-Fatal,67.0,0.04477611940298507,0.9552238805970149
Air Tractor,AT-502,52,7.0,24.0,31.0,Non-Fatal,55.0,0.12727272727272726,0.8727272727272728
Air Tractor,AT-502B,40,4.0,18.0,29.0,Non-Fatal,47.0,0.0851063829787234,0.9148936170212766
Air Tractor,AT-602,20,4.0,7.0,13.0,Non-Fatal,20.0,0.2,0.8
Air Tractor,AT301,29,1.0,8.0,22.0,Non-Fatal,30.0,0.03333333333333333,0.9666666666666667
American,AA-1,23,1.0,24.0,12.0,Non-Fatal,36.0,0.027777777777777776,0.9722222222222222
Aviat,A-1,27,5.0,15.0,30.0,Non-Fatal,45.0,0.1111111111111111,0.8888888888888888
Aviat,A-1B,29,3.0,9.0,35.0,Non-Fatal,44.0,0.06818181818181818,0.9318181818181819
Ayres,S-2R,20,4.0,8.0,13.0,Non-Fatal,21.0,0.19047619047619047,0.8095238095238095
Ayres,S2R,46,7.0,18.0,30.0,Non-Fatal,48.0,0.14583333333333334,0.8541666666666666
Ayres,S2R-T34,39,11.0,23.0,22.0,Non-Fatal,45.0,0.24444444444444444,0.7555555555555555
BEECH,200,22,18.0,19.0,71.0,Non-Fatal,90.0,0.2,0.8
BEECH,58,53,61.0,78.0,58.0,Non-Fatal,136.0,0.4485294117647059,0.5514705882352942
BEECH,A36,106,54.0,112.0,115.0,Non-Fatal,227.0,0.23788546255506607,0.762114537444934
BEECH,C23,35,13.0,27.0,35.0,Non-Fatal,62.0,0.20967741935483872,0.7903225806451613
BEECH,C90,22,33.0,38.0,20.0,Fatal,58.0,0.5689655172413793,0.43103448275862066
BEECH,F33A,21,5.0,18.0,16.0,Non-Fatal,34.0,0.14705882352941177,0.8529411764705882
BEECH,V35,24,28.0,38.0,20.0,Fatal,58.0,0.4827586206896552,0.5172413793103448
BEECH,V35B,26,12.0,24.0,29.0,Non-Fatal,53.0,0.22641509433962265,0.7735849056603774
BELL,206,112,95.0,155.0,108.0,Non-Fatal,263.0,0.3612167300380228,0.6387832699619772
BELL,206B,92,37.0,87.0,82.0,Non-Fatal,169.0,0.21893491124260356,0.7810650887573964
BELL,407,67,49.0,102.0,101.0,Non-Fatal,203.0,0.2413793103448276,0.7586206896551724
BELL,47G,21,4.0,14.0,11.0,Non-Fatal,25.0,0.16,0.84
BELLANCA,17-30A,20,3.0,13.0,18.0,Non-Fatal,31.0,0.0967741935483871,0.9032258064516129
BELLANCA,7GCBC,34,11.0,25.0,22.0,Non-Fatal,47.0,0.23404255319148937,0.7659574468085106
BOEING,737,424,1258.0,1698.0,20423.0,Non-Fatal,22121.0,0.056869038470231906,0.943130961529768
BOEING,737-800,20,0.0,2.0,1514.0,Non-Fatal,1516.0,0.0,1.0
BOEING,747,61,6.0,58.0,1702.0,Non-Fatal,1760.0,0.003409090909090909,0.9965909090909091
BOEING,757,27,0.0,2.0,1780.0,Non-Fatal,1782.0,0.0,1.0
BOEING,767,46,0.0,70.0,4225.0,Non-Fatal,4295.0,0.0,1.0
BOEING,777,81,0.0,41.0,8646.0,Non-Fatal,8687.0,0.0,1.0
BOEING,787,24,0.0,6.0,1917.0,Non-Fatal,1923.0,0.0,1.0
BOEING,A75N1(PT17),29,2.0,13.0,40.0,Non-Fatal,53.0,0.03773584905660377,0.9622641509433962
Balloon Works,FIREFLY 7,40,3.0,41.0,78.0,Non-Fatal,119.0,0.025210084033613446,0.9747899159663865
Beech,1900D,39,58.0,70.0,412.0,Incident,482.0,0.12033195020746888,0.8796680497925311
Beech,200,38,41.0,45.0,196.0,Non-Fatal,241.0,0.17012448132780084,0.8298755186721991
Beech,23,81,25.0,73.0,104.0,Non-Fatal,177.0,0.14124293785310735,0.8587570621468926
Beech,35,117,36.0,110.0,125.0,Non-Fatal,235.0,0.15319148936170213,0.8468085106382979
Beech,35-B33,20,8.0,20.0,30.0,Non-Fatal,50.0,0.16,0.84
Beech,36,39,8.0,19.0,75.0,Non-Fatal,94.0,0.0851063829787234,0.9148936170212766
Beech,55,31,2.0,7.0,56.0,Non-Fatal,63.0,0.031746031746031744,0.9682539682539683
Beech,58,138,77.0,111.0,213.0,Non-Fatal,324.0,0.23765432098765432,0.7623456790123457
Beech,58P,41,26.0,52.0,63.0,Non-Fatal,115.0,0.22608695652173913,0.7739130434782608
Beech,76,48,21.0,42.0,62.0,Non-Fatal,104.0,0.20192307692307693,0.7980769230769231
Beech,77,48,14.0,40.0,33.0,Non-Fatal,73.0,0.1917808219178082,0.8082191780821918
Beech,95,27,16.0,30.0,33.0,Non-Fatal,63.0,0.25396825396825395,0.746031746031746
Beech,95-A55,26,16.0,21.0,29.0,Non-Fatal,50.0,0.32,0.6799999999999999
Beech,95-B55,85,56.0,80.0,105.0,Non-Fatal,185.0,0.3027027027027027,0.6972972972972973
Beech,95-C55,26,14.0,23.0,32.0,Non-Fatal,55.0,0.2545454545454545,0.7454545454545455
Beech,A-36,36,27.0,43.0,51.0,Non-Fatal,94.0,0.2872340425531915,0.7127659574468085
Beech,A23,45,20.0,41.0,48.0,Non-Fatal,89.0,0.2247191011235955,0.7752808988764045
Beech,A23-24,31,12.0,32.0,47.0,Non-Fatal,79.0,0.1518987341772152,0.8481012658227848
Beech,A23A,23,6.0,12.0,27.0,Non-Fatal,39.0,0.15384615384615385,0.8461538461538461
Beech,A24R,23,16.0,27.0,25.0,Non-Fatal,52.0,0.3076923076923077,0.6923076923076923
Beech,A35,36,20.0,35.0,40.0,Non-Fatal,75.0,0.26666666666666666,0.7333333333333334
Beech,A36,230,141.0,254.0,317.0,Non-Fatal,571.0,0.2469352014010508,0.7530647985989491
Beech,A36TC,44,49.0,88.0,34.0,Non-Fatal,122.0,0.4016393442622951,0.5983606557377049
Beech,B19,40,4.0,16.0,51.0,Non-Fatal,67.0,0.05970149253731343,0.9402985074626866
Beech,B23,26,10.0,26.0,27.0,Non-Fatal,53.0,0.18867924528301888,0.8113207547169812
Beech,B35,34,11.0,29.0,50.0,Non-Fatal,79.0,0.13924050632911392,0.8607594936708861
Beech,B36TC,26,10.0,25.0,28.0,Non-Fatal,53.0,0.18867924528301888,0.8113207547169812
Beech,BE-23,20,4.0,11.0,24.0,Non-Fatal,35.0,0.11428571428571428,0.8857142857142857
Beech,C-23,33,0.0,19.0,39.0,Non-Fatal,58.0,0.0,1.0
Beech,C-45H,26,29.0,39.0,56.0,Non-Fatal,95.0,0.30526315789473685,0.6947368421052631
Beech,C23,140,47.0,116.0,200.0,Non-Fatal,316.0,0.14873417721518986,0.8512658227848101
Beech,C24R,46,12.0,32.0,72.0,Non-Fatal,104.0,0.11538461538461539,0.8846153846153846
Beech,C35,43,17.0,47.0,35.0,Non-Fatal,82.0,0.2073170731707317,0.7926829268292683
Beech,D18S,23,13.0,21.0,46.0,Non-Fatal,67.0,0.19402985074626866,0.8059701492537313
Beech,E18S,46,13.0,28.0,98.0,Non-Fatal,126.0,0.10317460317460317,0.8968253968253969
Beech,F33A,73,31.0,62.0,96.0,Non-Fatal,158.0,0.1962025316455696,0.8037974683544304
Beech,F35,22,14.0,19.0,16.0,Non-Fatal,35.0,0.4,0.6
Beech,G18S,21,3.0,8.0,18.0,Non-Fatal,26.0,0.11538461538461539,0.8846153846153846
Beech,G35,32,14.0,22.0,39.0,Non-Fatal,61.0,0.22950819672131148,0.7704918032786885
Beech,H35,37,17.0,28.0,44.0,Non-Fatal,72.0,0.2361111111111111,0.7638888888888888
Beech,J35,32,24.0,43.0,31.0,Non-Fatal,74.0,0.32432432432432434,0.6756756756756757
Beech,K35,36,22.0,47.0,37.0,Non-Fatal,84.0,0.2619047619047619,0.7380952380952381
Beech,M35,31,5.0,19.0,39.0,Non-Fatal,58.0,0.08620689655172414,0.9137931034482758
Beech,P35,20,8.0,23.0,23.0,Non-Fatal,46.0,0.17391304347826086,0.8260869565217391
Beech,S35,35,18.0,28.0,46.0,Non-Fatal,74.0,0.24324324324324326,0.7567567567567568
Beech,V35,43,35.0,54.0,32.0,Non-Fatal,86.0,0.4069767441860465,0.5930232558139534
Beech,V35A,23,4.0,23.0,23.0,Non-Fatal,46.0,0.08695652173913043,0.9130434782608696
Beech,V35B,106,54.0,98.0,122.0,Non-Fatal,220.0,0.24545454545454545,0.7545454545454545
Bell,206,46,24.0,49.0,47.0,Non-Fatal,96.0,0.25,0.75
Bell,206B,387,158.0,466.0,485.0,Non-Fatal,951.0,0.1661409043112513,0.8338590956887487
Bell,206B III,22,11.0,20.0,23.0,Non-Fatal,43.0,0.2558139534883721,0.7441860465116279
Bell,206B-III,21,1.0,24.0,23.0,Non-Fatal,47.0,0.02127659574468085,0.9787234042553191
Bell,206B3,24,3.0,23.0,30.0,Non-Fatal,53.0,0.05660377358490566,0.9433962264150944
Bell,206L,30,4.0,38.0,77.0,Non-Fatal,115.0,0.034782608695652174,0.9652173913043478
Bell,206L-1,130,41.0,200.0,190.0,Non-Fatal,390.0,0.10512820512820513,0.8948717948717949
Bell,206L-3,64,29.0,100.0,102.0,Non-Fatal,202.0,0.14356435643564355,0.8564356435643564
Bell,212,32,14.0,53.0,52.0,Non-Fatal,105.0,0.13333333333333333,0.8666666666666667
Bell,407,51,36.0,61.0,75.0,Non-Fatal,136.0,0.2647058823529412,0.7352941176470589
Bell,412,20,13.0,29.0,79.0,Non-Fatal,108.0,0.12037037037037036,0.8796296296296297
Bell,47D1,38,8.0,23.0,37.0,Non-Fatal,60.0,0.13333333333333333,0.8666666666666667
Bell,47G,76,14.0,57.0,70.0,Non-Fatal,127.0,0.11023622047244094,0.889763779527559
Bell,47G-2,80,8.0,46.0,82.0,Non-Fatal,128.0,0.0625,0.9375
Bell,47G-2A,20,1.0,6.0,18.0,Non-Fatal,24.0,0.041666666666666664,0.9583333333333334
Bell,47G-3B-1,60,6.0,43.0,56.0,Non-Fatal,99.0,0.06060606060606061,0.9393939393939394
Bell,47G-4A,23,2.0,13.0,20.0,Non-Fatal,33.0,0.06060606060606061,0.9393939393939394
Bell,47G-5,33,5.0,17.0,22.0,Non-Fatal,39.0,0.1282051282051282,0.8717948717948718
Bell,47G2,29,4.0,19.0,26.0,Non-Fatal,45.0,0.08888888888888889,0.9111111111111111
Bell,UH-1B,46,22.0,53.0,23.0,Non-Fatal,76.0,0.2894736842105263,0.7105263157894737
Bell,UH-1H,29,33.0,61.0,33.0,Non-Fatal,94.0,0.35106382978723405,0.648936170212766
Bellanca,17-30,39,8.0,35.0,47.0,Non-Fatal,82.0,0.0975609756097561,0.9024390243902439
Bellanca,17-30A,94,24.0,90.0,78.0,Non-Fatal,168.0,0.14285714285714285,0.8571428571428572
Bellanca,7ECA,104,23.0,62.0,108.0,Non-Fatal,170.0,0.13529411764705881,0.8647058823529412
Bellanca,7GCAA,28,8.0,16.0,23.0,Non-Fatal,39.0,0.20512820512820512,0.7948717948717949
Bellanca,7GCBC,148,34.0,85.0,161.0,Non-Fatal,246.0,0.13821138211382114,0.8617886178861789
Bellanca,7KCAB,55,16.0,29.0,53.0,Non-Fatal,82.0,0.1951219512195122,0.8048780487804879
Bellanca,8GCBC,94,27.0,52.0,89.0,Non-Fatal,141.0,0.19148936170212766,0.8085106382978724
Bellanca,8KCAB,103,49.0,94.0,64.0,Non-Fatal,158.0,0.310126582278481,0.689873417721519
Boeing,727-200,35,0.0,55.0,3627.0,Non-Fatal,3682.0,0.0,1.0
Boeing,737,45,0.0,12.0,3342.0,Non-Fatal,3354.0,0.0,1.0
Boeing,737-200,31,227.0,269.0,2063.0,Incident,2332.0,0.09734133790737565,0.9026586620926244
Boeing,737-300,34,34.0,138.0,2927.0,Incident,3065.0,0.011092985318107667,0.9889070146818923
Boeing,737-400,20,103.0,119.0,1099.0,Incident,1218.0,0.08456486042692939,0.9154351395730707
Boeing,757,22,44.0,46.0,2107.0,Non-Fatal,2153.0,0.020436600092893636,0.9795633999071064
Boeing,A75,21,3.0,17.0,21.0,Non-Fatal,38.0,0.07894736842105263,0.9210526315789473
Boeing,A75N1,94,7.0,44.0,123.0,Non-Fatal,167.0,0.041916167664670656,0.9580838323353293
Boeing,B75N1,28,2.0,10.0,39.0,Non-Fatal,49.0,0.04081632653061224,0.9591836734693877
Boeing,E75,29,0.0,10.0,35.0,Non-Fatal,45.0,0.0,1.0
Brantly Helicopter,B-2B,20,1.0,5.0,27.0,Non-Fatal,32.0,0.03125,0.96875
CESSNA,120,37,4.0,14.0,38.0,Non-Fatal,52.0,0.07692307692307693,0.9230769230769231
CESSNA,140,76,8.0,30.0,81.0,Non-Fatal,111.0,0.07207207207207207,0.9279279279279279
CESSNA,150,105,40.0,74.0,86.0,Non-Fatal,160.0,0.25,0.75
CESSNA,150F,41,10.0,34.0,26.0,Non-Fatal,60.0,0.16666666666666666,0.8333333333333334
CESSNA,150G,28,2.0,16.0,29.0,Non-Fatal,45.0,0.044444444444444446,0.9555555555555556
CESSNA,150H,25,6.0,21.0,19.0,Non-Fatal,40.0,0.15,0.85
CESSNA,150L,48,8.0,27.0,44.0,Non-Fatal,71.0,0.11267605633802817,0.8873239436619719
CESSNA,150M,46,12.0,32.0,39.0,Non-Fatal,71.0,0.16901408450704225,0.8309859154929577
CESSNA,152,195,39.0,87.0,189.0,Non-Fatal,276.0,0.14130434782608695,0.8586956521739131
CESSNA,170,49,6.0,23.0,63.0,Non-Fatal,86.0,0.06976744186046512,0.9302325581395349
CESSNA,170A,27,1.0,6.0,32.0,Non-Fatal,38.0,0.02631578947368421,0.9736842105263158
CESSNA,170B,80,10.0,40.0,110.0,Non-Fatal,150.0,0.06666666666666667,0.9333333333333333
CESSNA,172,489,149.0,334.0,511.0,Non-Fatal,845.0,0.17633136094674556,0.8236686390532544
CESSNA,172F,24,4.0,17.0,16.0,Non-Fatal,33.0,0.12121212121212122,0.8787878787878788
CESSNA,172H,27,6.0,18.0,40.0,Non-Fatal,58.0,0.10344827586206896,0.896551724137931
CESSNA,172K,37,9.0,22.0,47.0,Non-Fatal,69.0,0.13043478260869565,0.8695652173913043
CESSNA,172M,125,39.0,91.0,250.0,Non-Fatal,341.0,0.11436950146627566,0.8856304985337243
CESSNA,172N,160,54.0,128.0,168.0,Non-Fatal,296.0,0.18243243243243243,0.8175675675675675
CESSNA,172P,90,9.0,36.0,165.0,Non-Fatal,201.0,0.04477611940298507,0.9552238805970149
CESSNA,172R,62,15.0,30.0,64.0,Non-Fatal,94.0,0.1595744680851064,0.8404255319148937
CESSNA,172RG,45,4.0,15.0,65.0,Non-Fatal,80.0,0.05,0.95
CESSNA,172S,180,38.0,80.0,210.0,Non-Fatal,290.0,0.1310344827586207,0.8689655172413793
CESSNA,175,27,5.0,20.0,31.0,Non-Fatal,51.0,0.09803921568627451,0.9019607843137255
CESSNA,177,53,15.0,40.0,68.0,Non-Fatal,108.0,0.1388888888888889,0.8611111111111112
CESSNA,177B,29,6.0,23.0,35.0,Non-Fatal,58.0,0.10344827586206896,0.896551724137931
CESSNA,177RG,29,4.0,20.0,33.0,Non-Fatal,53.0,0.07547169811320754,0.9245283018867925
CESSNA,180,125,11.0,44.0,181.0,Non-Fatal,225.0,0.04888888888888889,0.9511111111111111
CESSNA,180H,23,0.0,4.0,41.0,Non-Fatal,45.0,0.0,1.0
CESSNA,180J,22,0.0,3.0,35.0,Non-Fatal,38.0,0.0,1.0
CESSNA,182,179,92.0,178.0,174.0,Non-Fatal,352.0,0.26136363636363635,0.7386363636363636
CESSNA,182A,33,4.0,15.0,46.0,Non-Fatal,61.0,0.06557377049180328,0.9344262295081968
CESSNA,182P,61,15.0,56.0,68.0,Non-Fatal,124.0,0.12096774193548387,0.8790322580645161
CESSNA,182Q,42,8.0,23.0,48.0,Non-Fatal,71.0,0.11267605633802817,0.8873239436619719
CESSNA,182T,24,1.0,7.0,40.0,Non-Fatal,47.0,0.02127659574468085,0.9787234042553191
CESSNA,185,21,19.0,22.0,36.0,Non-Fatal,58.0,0.3275862068965517,0.6724137931034483
CESSNA,195,24,0.0,5.0,41.0,Non-Fatal,46.0,0.0,1.0
CESSNA,206,21,12.0,24.0,34.0,Non-Fatal,58.0,0.20689655172413793,0.7931034482758621
CESSNA,208,50,64.0,122.0,183.0,Non-Fatal,305.0,0.2098360655737705,0.7901639344262295
CESSNA,208B,53,58.0,110.0,144.0,Non-Fatal,254.0,0.2283464566929134,0.7716535433070866
CESSNA,210,78,35.0,61.0,85.0,Non-Fatal,146.0,0.23972602739726026,0.7602739726027398
CESSNA,421C,22,30.0,39.0,22.0,Fatal,61.0,0.4918032786885246,0.5081967213114754
CESSNA,525,21,14.0,21.0,43.0,Non-Fatal,64.0,0.21875,0.78125
CESSNA,550,20,10.0,14.0,56.0,Non-Fatal,70.0,0.14285714285714285,0.8571428571428572
CESSNA,A185,31,4.0,4.0,54.0,Non-Fatal,58.0,0.06896551724137931,0.9310344827586207
CESSNA,A185F,74,10.0,24.0,125.0,Non-Fatal,149.0,0.06711409395973154,0.9328859060402684
CESSNA,A188B,32,4.0,11.0,20.0,Non-Fatal,31.0,0.12903225806451613,0.8709677419354839
CESSNA,P210N,48,17.0,42.0,44.0,Non-Fatal,86.0,0.19767441860465115,0.8023255813953488
CESSNA,R182,26,5.0,11.0,36.0,Non-Fatal,47.0,0.10638297872340426,0.8936170212765957
CESSNA,T182T,20,3.0,5.0,27.0,Non-Fatal,32.0,0.09375,0.90625
CESSNA,T206H,23,10.0,25.0,25.0,Non-Fatal,50.0,0.2,0.8
CESSNA,T210,25,21.0,29.0,21.0,Non-Fatal,50.0,0.42,0.5800000000000001
CESSNA,T210L,30,6.0,17.0,39.0,Non-Fatal,56.0,0.10714285714285714,0.8928571428571429
CESSNA,T210M,27,10.0,25.0,32.0,Non-Fatal,57.0,0.17543859649122806,0.8245614035087719
CESSNA,T210N,28,14.0,28.0,38.0,Non-Fatal,66.0,0.21212121212121213,0.7878787878787878
CESSNA,TR182,24,2.0,12.0,34.0,Non-Fatal,46.0,0.043478260869565216,0.9565217391304348
CESSNA,U206,30,23.0,43.0,33.0,Non-Fatal,76.0,0.3026315789473684,0.6973684210526316
CESSNA,U206F,21,29.0,41.0,31.0,Non-Fatal,72.0,0.4027777777777778,0.5972222222222222
CESSNA,U206G,34,14.0,42.0,60.0,Non-Fatal,102.0,0.13725490196078433,0.8627450980392157
CHAMPION,7ECA,22,7.0,14.0,20.0,Non-Fatal,34.0,0.20588235294117646,0.7941176470588236
CIRRUS,SR22,46,27.0,38.0,61.0,Non-Fatal,99.0,0.2727272727272727,0.7272727272727273
CIRRUS DESIGN CORP,SR20,45,18.0,33.0,52.0,Non-Fatal,85.0,0.21176470588235294,0.788235294117647
CIRRUS DESIGN CORP,SR22,123,48.0,106.0,131.0,Non-Fatal,237.0,0.20253164556962025,0.7974683544303798
Cessna,120,117,10.0,49.0,120.0,Non-Fatal,169.0,0.05917159763313609,0.9408284023668639
Cessna,140,316,32.0,135.0,330.0,Non-Fatal,465.0,0.06881720430107527,0.9311827956989247
Cessna,140A,30,3.0,13.0,33.0,Non-Fatal,46.0,0.06521739130434782,0.9347826086956522
Cessna,150,695,65.0,345.0,668.0,Non-Fatal,1013.0,0.06416584402764067,0.9358341559723593
Cessna,150C,26,3.0,13.0,27.0,Non-Fatal,40.0,0.075,0.925
Cessna,150D,40,5.0,17.0,38.0,Non-Fatal,55.0,0.09090909090909091,0.9090909090909091
Cessna,150E,59,11.0,37.0,60.0,Non-Fatal,97.0,0.1134020618556701,0.8865979381443299
Cessna,150F,210,38.0,127.0,177.0,Non-Fatal,304.0,0.125,0.875
Cessna,150G,206,38.0,139.0,166.0,Non-Fatal,305.0,0.12459016393442623,0.8754098360655738
Cessna,150H,208,31.0,142.0,163.0,Non-Fatal,305.0,0.10163934426229508,0.898360655737705
Cessna,150J,197,39.0,130.0,178.0,Non-Fatal,308.0,0.1266233766233766,0.8733766233766234
Cessna,150K,99,13.0,54.0,95.0,Non-Fatal,149.0,0.087248322147651,0.912751677852349
Cessna,150L,393,97.0,283.0,312.0,Non-Fatal,595.0,0.16302521008403362,0.8369747899159664
Cessna,150M,519,75.0,266.0,520.0,Non-Fatal,786.0,0.09541984732824428,0.9045801526717557
Cessna,152,2097,288.0,836.0,2151.0,Non-Fatal,2987.0,0.09641781051221962,0.9035821894877804
Cessna,152II,38,2.0,15.0,43.0,Non-Fatal,58.0,0.034482758620689655,0.9655172413793104
Cessna,170,107,12.0,53.0,157.0,Non-Fatal,210.0,0.05714285714285714,0.9428571428571428
Cessna,170A,110,26.0,69.0,135.0,Non-Fatal,204.0,0.12745098039215685,0.8725490196078431
Cessna,170B,297,42.0,119.0,441.0,Non-Fatal,560.0,0.075,0.925
Cessna,172,1180,175.0,649.0,1697.0,Non-Fatal,2346.0,0.07459505541346974,0.9254049445865302
Cessna,172 M,25,4.0,15.0,36.0,Non-Fatal,51.0,0.0784313725490196,0.9215686274509804
Cessna,172A,49,9.0,35.0,56.0,Non-Fatal,91.0,0.0989010989010989,0.9010989010989011
Cessna,172B,56,11.0,44.0,65.0,Non-Fatal,109.0,0.10091743119266056,0.8990825688073394
Cessna,172C,39,13.0,39.0,38.0,Non-Fatal,77.0,0.16883116883116883,0.8311688311688312
Cessna,172D,58,10.0,38.0,79.0,Non-Fatal,117.0,0.08547008547008547,0.9145299145299145
Cessna,172E,82,9.0,66.0,106.0,Non-Fatal,172.0,0.05232558139534884,0.9476744186046512
Cessna,172F,101,19.0,72.0,107.0,Non-Fatal,179.0,0.10614525139664804,0.8938547486033519
Cessna,172G,115,28.0,88.0,135.0,Non-Fatal,223.0,0.12556053811659193,0.874439461883408
Cessna,172H,133,28.0,107.0,162.0,Non-Fatal,269.0,0.10408921933085502,0.895910780669145
Cessna,172I,42,11.0,45.0,37.0,Non-Fatal,82.0,0.13414634146341464,0.8658536585365854
Cessna,172K,167,37.0,120.0,212.0,Non-Fatal,332.0,0.11144578313253012,0.8885542168674698
Cessna,172L,125,25.0,79.0,173.0,Non-Fatal,252.0,0.0992063492063492,0.9007936507936508
Cessna,172M,616,144.0,476.0,825.0,Non-Fatal,1301.0,0.11068408916218293,0.889315910837817
Cessna,172N,910,252.0,686.0,1153.0,Non-Fatal,1839.0,0.1370309951060359,0.8629690048939641
Cessna,172P,555,184.0,459.0,670.0,Non-Fatal,1129.0,0.1629760850310009,0.8370239149689991
Cessna,172R,95,6.0,19.0,113.0,Non-Fatal,132.0,0.045454545454545456,0.9545454545454546
Cessna,172RG,177,59.0,140.0,259.0,Non-Fatal,399.0,0.14786967418546365,0.8521303258145363
Cessna,172S,184,32.0,72.0,203.0,Non-Fatal,275.0,0.11636363636363636,0.8836363636363637
Cessna,172XP,22,2.0,7.0,30.0,Non-Fatal,37.0,0.05405405405405406,0.9459459459459459
Cessna,175,121,17.0,81.0,148.0,Non-Fatal,229.0,0.07423580786026202,0.9257641921397379
Cessna,175A,24,14.0,27.0,21.0,Non-Fatal,48.0,0.2916666666666667,0.7083333333333333
Cessna,177,230,72.0,232.0,267.0,Non-Fatal,499.0,0.14428857715430862,0.8557114228456913
Cessna,177A,29,1.0,21.0,34.0,Non-Fatal,55.0,0.01818181818181818,0.9818181818181818
Cessna,177B,112,29.0,83.0,152.0,Non-Fatal,235.0,0.12340425531914893,0.8765957446808511
Cessna,177RG,174,50.0,150.0,225.0,Non-Fatal,375.0,0.13333333333333333,0.8666666666666667
Cessna,180,473,70.0,165.0,795.0,Non-Fatal,960.0,0.07291666666666667,0.9270833333333334
